Frame,CS6_B5_nnv_ROI1,CS6_B5_nnv_ROI2,CS6_B5_nnv_ROI3,CS6_B5_nnv_ROI4,CS6_B5_nnv_ROI5,CS6_B5_nnv_ROI6,CS6_B5_nnv_ROI7,CS6_B5_nnv_ROI8,CS6_B5_nnv_ROI9,CS6_B5_nnv_ROI10,CS6_B5_nnv_ROI11,CS6_B5_nnv_ROI12,CS6_B5_nnv_ROI13,CS6_B5_nnv_ROI14,CS6_B5_nnv_ROI15,CS6_B5_nnv_ROI16,CS6_B5_nnv_ROI17,CS6_B5_nnv_ROI18,CS6_B5_nnv_ROI19,CS6_B5_nnv_ROI20,CS6_B5_nnv_ROI21,CS6_B5_nnv_ROI22,CS6_B5_nnv_ROI23,CS6_B5_nnv_ROI24,CS6_B5_nnv_ROI25,CS6_B5_nnv_ROI26,CS6_B5_nnv_ROI27,CS6_B5_nnv_ROI28,CS6_B5_nnv_ROI29,CS6_B5_nnv_ROI30,CS6_B5_nnv_ROI31,CS6_B5_nnv_ROI32,CS6_B5_nnv_ROI33,CS6_B5_nnv_ROI34,CS6_B5_nnv_ROI35,CS6_B5_nnv_ROI36,CS6_B5_nnv_ROI37,CS6_B5_nnv_ROI38,CS6_B5_nnv_ROI39,CS6_B5_nnv_ROI40,CS6_B5_nnv_ROI41,CS6_B5_nnv_ROI42,CS6_B5_nnv_ROI43,CS6_B5_nnv_ROI44,CS6_B5_nnv_ROI45,CS6_B5_nnv_ROI46,CS6_B5_nnv_ROI47,CS6_B5_nnv_ROI48,CS6_B5_nnv_ROI49,CS6_B5_nnv_ROI50,CS6_B5_nnv_ROI51,CS6_B5_nnv_ROI52,CS6_B5_nnv_ROI53,CS6_B5_nnv_ROI54,CS6_B5_nnv_ROI55,CS6_B5_nnv_ROI56,CS6_B5_nnv_ROI57,CS6_B5_nnv_ROI58,CS6_B5_nnv_ROI59,CS6_B5_nnv_ROI60,CS6_B5_nnv_ROI61,CS6_B5_nnv_ROI62,CS6_B5_nnv_ROI63,CS6_B5_nnv_ROI64,CS6_B5_nnv_ROI65,CS6_B5_nnv_ROI66,CS6_B5_nnv_ROI67,CS6_B5_nnv_ROI68,CS6_B5_nnv_ROI69,CS6_B5_nnv_ROI70,CS6_B5_nnv_ROI71,CS6_B5_nnv_ROI72
11,52.083,186.059,249.95,136.545,182.75,161.167,234.321,172.143,219.25,68.4,69.647,34.455,241.029,60.581,51.6,243.364,224.774,60.333,169.097,255,232.375,240.643,235.935,255,238.4,253.188,244.294,255,224.2,97.5,147.364,221.854,255,165.562,169.786,236.091,248.545,198.5,35.979,21.914,238.935,41.214,193.571,238.5,168.2,168.312,234.75,238,175.062,175.778,65.429,74.066,46,254.55,236.781,156.727,38.75,174.688,96.946,28.731,117.333,191.5,143.458,23.87,49.7,173.812,11.476,63.75,142.923,70.095,140.125,93.804
12,49,186.588,248.1,137.545,186.5,159.958,227.143,170.143,217.458,63.55,73.176,31.909,244.912,67.645,55.2,241.727,220.806,68.917,170.677,255,230.417,240.357,236.774,255,236.2,253.062,246,255,227.5,98.75,143.818,224.542,255,165.125,169.071,231.364,246.273,195.625,35.745,25,237.097,44.464,195.643,236.625,170,173.688,237.875,231.5,174.562,173,59.952,78.098,45.577,255,235.812,154.727,35.375,173.094,99.027,25.192,128,192.136,146.938,17.174,47.85,174.141,12.195,61.3,145.231,75.333,129.812,97.482
13,44.667,187.824,247.9,137.545,190.75,159.5,232.464,170,215.167,65.65,72.5,41,244.676,58.806,61.4,242.273,226.387,69.75,172.161,255,232.5,241.643,235.323,255,238.25,254.125,245.853,255,226.2,101.875,147.727,219.438,255,169.562,168.071,234.636,244.455,187.5,38.638,25.138,234.484,46.214,194.714,237.625,171.4,170.969,236.375,236.375,174.562,171.556,66.024,73.475,44.731,254.7,235.5,155.568,44.5,175.5,97.865,26.154,127.167,193.25,143.208,22.609,46,171.953,9.927,59.95,147.077,73.655,131.312,93.946
14,48.833,185.118,250.05,137.455,187.375,155.875,231.214,173.214,215.917,69.35,77.912,28.182,242.882,65.806,55.4,243.636,225.032,65.583,168.097,255,231.75,243.786,237.097,255,238.3,251.688,246.206,255,220.9,101.25,149.818,220.458,255,167.938,165.143,234.091,247.273,199.125,35.426,22.517,237.258,46.821,197.429,242.125,179.3,170.656,235.625,240.25,174.312,178.889,63.476,74.934,43.692,253.9,236.344,157.636,43,176.844,98.622,27.308,125.833,192.273,140.625,26.043,45.95,171.172,12.134,56.7,143.462,73.857,139.938,92.339
15,49.083,193.235,245.55,140.909,191.25,159.417,232.714,173.357,219.083,66.25,72,30.364,241.147,63.097,45.8,243.818,227.71,64.25,163.839,255,233.208,240.714,236.806,255,238.5,253.125,243.971,255,223.8,98.125,148.818,224.146,255,166.312,169,229.545,245.091,190.5,37.872,22.862,235.484,44.143,192.857,237.875,167,171.281,233.625,232.5,168.375,169.667,63.5,78.869,45.538,254.3,236.5,157.932,41,177,99.622,29,125.833,196.523,140.646,31.304,53.4,169.391,13.22,59.7,140.846,73.143,137.312,90.232
16,41.167,190.882,249.35,130.909,189.75,157.208,233.286,169.286,218.167,64.6,71.059,32.273,242.559,55.613,47.2,242.636,223.29,71.75,171.355,255,232.667,242.929,236.677,255,238.2,252.875,244.794,255,221.9,97.625,149.273,222.271,255,163.375,168.357,237.091,247.727,186.625,35.149,24.069,238.161,47.357,195.143,245.375,173.3,169.469,233.375,236.375,168.5,178.444,63.357,77.689,44.808,254.3,235.344,157.886,35.958,179.906,102.622,30,118.5,194.432,145,21.435,55.35,171.828,13.171,60.25,143.731,70.726,137.5,92.393
17,42.667,188.118,248.8,138.364,184.625,161.833,230.857,171.071,216.042,59.6,77.118,35.727,242.059,67.806,51.2,243.273,221.613,61,169.452,255,231.167,243.286,237.323,255,237.7,255,245.471,253.75,228.1,93.5,149.727,222.125,255,166.125,169.786,233.818,248.091,191.625,38.085,20.534,236.452,44.679,193.286,242.375,169.6,169.312,236,233.875,173.062,175.111,63.571,76.295,49.077,255,236,157.159,39.958,173.5,99.73,29,124,196.114,140.688,22.696,46.25,171,10.817,61.85,145.769,75.607,136.562,92.911
18,41.167,186.824,248.35,144.091,180.625,156.542,233.464,171.5,213.375,58.85,70.824,27.273,242.882,64.161,51.8,241.818,221.613,63.833,172.032,255,229.75,244.357,237,255,233.75,251.75,244.853,253.75,219,97,151.455,219.708,255,171.562,167.571,232.091,251.636,190.125,40.936,23.155,236.129,41.393,192.643,244.5,172,171.094,234.875,236.75,169.688,176.111,62.429,76.82,45.923,255,235.812,156.205,36.583,170.438,99.865,28.115,123.167,192.545,140.125,25.87,43.65,170.859,10.305,59.4,150.577,71.06,128.25,97.625
19,50.583,189.882,250,132.182,174,158.917,229.571,166.571,212.042,62.4,75.471,30.727,242.765,58.903,48.4,240.182,224.323,66.583,171.484,255,231.25,241.571,237.484,255,237.2,252,245.088,253.5,222.7,98.375,148,222.167,255,166.125,169.786,234.091,243.818,188.5,40.383,23.121,235.935,39.679,193.429,242.25,172.6,169.531,232.625,240.625,169.062,169.333,64.333,77.787,46.385,254.2,238.531,156.75,41.792,176.625,97.865,28.154,132.667,192.841,140.708,26.565,51.65,171.266,12.354,59.8,146.385,71.25,134.312,89.464
20,48.25,188.235,252.65,136.636,179,154.542,228.929,173.786,216.667,64.25,75.235,34.182,243.147,56.097,50.6,241.455,224.613,65,165.226,255,227.417,241.143,236.29,255,236.75,254.312,245.088,255,224.2,101.25,148.455,220.667,255,165.062,166,236.091,250.273,192.625,41.064,20.034,238.226,42.536,194.286,239.875,175.9,170.719,240.25,236.375,171.062,164.444,65.548,77.459,46.654,254.55,237.188,158.5,35.5,171.594,97.162,29.231,124.833,192.705,144.875,25.174,50.45,173.422,12.89,60.6,149.269,72.917,138.438,94.179
