Frame,CS6_B5_nnv_ROI1,CS6_B5_nnv_ROI2,CS6_B5_nnv_ROI3,CS6_B5_nnv_ROI4,CS6_B5_nnv_ROI5,CS6_B5_nnv_ROI6,CS6_B5_nnv_ROI7,CS6_B5_nnv_ROI8,CS6_B5_nnv_ROI9,CS6_B5_nnv_ROI10,CS6_B5_nnv_ROI11,CS6_B5_nnv_ROI12,CS6_B5_nnv_ROI13,CS6_B5_nnv_ROI14,CS6_B5_nnv_ROI15,CS6_B5_nnv_ROI16,CS6_B5_nnv_ROI17,CS6_B5_nnv_ROI18,CS6_B5_nnv_ROI19,CS6_B5_nnv_ROI20,CS6_B5_nnv_ROI21,CS6_B5_nnv_ROI22,CS6_B5_nnv_ROI23,CS6_B5_nnv_ROI24,CS6_B5_nnv_ROI25,CS6_B5_nnv_ROI26,CS6_B5_nnv_ROI27,CS6_B5_nnv_ROI28,CS6_B5_nnv_ROI29,CS6_B5_nnv_ROI30,CS6_B5_nnv_ROI31,CS6_B5_nnv_ROI32,CS6_B5_nnv_ROI33,CS6_B5_nnv_ROI34,CS6_B5_nnv_ROI35,CS6_B5_nnv_ROI36,CS6_B5_nnv_ROI37,CS6_B5_nnv_ROI38,CS6_B5_nnv_ROI39,CS6_B5_nnv_ROI40,CS6_B5_nnv_ROI41,CS6_B5_nnv_ROI42,CS6_B5_nnv_ROI43,CS6_B5_nnv_ROI44,CS6_B5_nnv_ROI45,CS6_B5_nnv_ROI46,CS6_B5_nnv_ROI47,CS6_B5_nnv_ROI48,CS6_B5_nnv_ROI49,CS6_B5_nnv_ROI50,CS6_B5_nnv_ROI51,CS6_B5_nnv_ROI52,CS6_B5_nnv_ROI53,CS6_B5_nnv_ROI54,CS6_B5_nnv_ROI55,CS6_B5_nnv_ROI56,CS6_B5_nnv_ROI57,CS6_B5_nnv_ROI58,CS6_B5_nnv_ROI59,CS6_B5_nnv_ROI60,CS6_B5_nnv_ROI61,CS6_B5_nnv_ROI62,CS6_B5_nnv_ROI63,CS6_B5_nnv_ROI64,CS6_B5_nnv_ROI65,CS6_B5_nnv_ROI66,CS6_B5_nnv_ROI67,CS6_B5_nnv_ROI68,CS6_B5_nnv_ROI69,CS6_B5_nnv_ROI70,CS6_B5_nnv_ROI71,CS6_B5_nnv_ROI72
239,49,186.529,246.55,132.273,179.125,152.417,224.786,166,207.583,35.35,108.265,37.182,241.618,51.774,63,239.182,219.774,63.417,158.258,255,236.625,244.214,235.258,255,238.85,252.75,244.382,255,208.7,91.125,154.455,216.646,255,171.625,166.929,233.636,247.545,188.5,56.319,23.655,241.258,54.25,187.286,242.375,162.2,163.844,234.625,229.75,167,178.333,68.952,109.475,41.846,255,233.375,154.977,42.667,169.156,96.027,21.462,129.333,196.659,138.792,27.696,48.1,173.656,19.293,60.1,143.423,71.345,125.75,80.321
240,40.333,184.941,241.35,135.727,176.25,152.917,228.571,166,208.208,30.45,110.294,36.273,241.412,52.548,48.4,238.182,219.839,62,164.194,255,236.417,241.929,233.871,255,237.65,253.875,244.029,255,212.2,101.5,154.909,217.542,255,173.188,172.643,234.545,250.091,177,55.234,24.138,242.258,56.357,186.286,244,166.6,163.844,232.625,229.375,157.312,173.778,66.714,109.213,43.269,252.75,231.094,155.568,37.875,168.938,92.865,20.654,137.167,196.068,139.583,22.435,47.25,171.641,18.524,58.25,145.577,72.988,126.938,84.857
241,50.5,186,241.65,132.909,185.5,152.958,228,167.357,208.208,35.4,105.5,36.091,243.118,51.226,50.2,236.545,220.484,60.667,161.968,255,238.75,241.714,236.645,255,238.6,252.312,244.441,255,201.2,106.25,150.545,218.312,255,173.5,170.143,236.455,250.091,186.625,57.383,21.966,239.613,52.679,191.071,241.75,163.4,164.969,235.75,229.5,163.75,179.333,69.786,112.164,36.5,254.6,232.719,155.818,38.208,168.969,96.081,20.385,129.333,195.909,137.958,21.304,42.35,168.781,17.524,60.25,146.846,70.714,134.375,85.714
242,45,182.353,238.95,127.727,186.375,151.333,228.679,164.429,207.5,31.55,104.941,35.364,243.294,46.774,50.4,239.455,220.323,62.917,156.903,255,238.5,239,235.677,255,237.8,251.125,244.853,254.75,209.1,95.25,146.455,217.604,255,174.375,171.714,235.636,251.364,178.125,57.404,22.414,242.484,55.321,192.714,243.125,164.4,168.094,231.625,227.875,163.688,173.889,66.857,108.443,48.692,254.75,231.562,155.773,38,166.594,100.892,16.769,126,194.023,140.375,25.174,48.25,170.047,19.305,58.2,142.423,74.821,124.188,83.804
243,39.75,180.941,242.5,132.091,187.125,152.042,222.929,167.214,209.333,37.8,110.235,38.273,242.588,51.516,41.8,240,220,65,160.581,255,235.708,242.571,235.871,255,237.1,254.375,243.294,255,206.8,98,149.455,218.417,255,171.125,172.214,234.545,250.455,178.875,55.681,22.034,242.355,56.75,190.714,241.625,167.3,165.75,229.5,220.625,165.5,186.222,66.905,111.59,47.769,254.7,231.844,154.273,40.083,165.125,95.108,16.769,130.833,194.659,140.833,24.739,45.05,172.125,18.902,53.8,143.5,73.75,125.375,82.982
244,45.417,182.765,245.35,129.091,182.375,154.583,226.357,165,203.167,39,111.206,34.091,241.559,51.677,54.2,241.455,221.645,60.5,163.613,255,235.208,241.714,235.323,255,236.15,252.875,245.559,255,202.2,95.875,150.091,217.583,255,176.188,169.071,232.727,249.727,184.5,55.404,23.172,239.903,53.857,187.286,244.875,165.2,168.281,234.125,222.25,158.688,179.667,68.476,109.016,41.846,253.8,230.562,154.864,33.583,167.781,96.216,20.192,130.333,195.159,140.688,24.087,47.85,173.5,18.402,56.65,142.769,73.405,117,83.982
245,42.083,180.235,243.5,127.091,180.25,148.833,229.5,164.357,209.25,30.55,111.971,43.455,243.559,47.806,47.6,237.818,221.742,67.75,163.774,255,239.75,243.286,237.484,255,237.75,252.438,243.706,255,204.2,91.875,151.909,217.688,255,173.125,167,235.455,250,190.375,56.617,25.017,242.742,58.393,187.286,242.25,162.6,167.625,231.5,229.625,162.125,178,67.333,106.557,45.538,254.7,233.344,154.636,42.75,167.312,94.297,16.692,128.167,195.273,141.021,22.783,46.1,172.469,17.622,51.25,138.192,70.607,121.562,82.589
246,42.583,180.235,242.95,127.455,175.625,151.458,224.857,164.929,204.5,37.65,110.824,40.545,242.529,47.613,50,239.727,220.613,61.417,156.355,255,237.75,245.714,235.806,255,237.95,251.812,245.206,255,206.4,101,145.273,217,255,175.688,166.786,234.727,248.455,186.875,56.298,20.966,241.484,52.786,185.643,243.25,163.3,165.094,233.375,227.25,156.375,174.556,64.952,105.197,40.692,253.9,230.906,151.864,42.083,169.25,97.838,19.885,126.5,195.636,139.062,21.174,51.5,170.125,19.878,58.4,143.5,72.798,115.75,84.643
247,46.167,184.529,240.6,131.818,185,149.792,224.071,163.286,210.875,29.75,112.412,46.455,240.471,52.194,44.8,240.273,221.452,62.583,158.806,255,236.708,243.071,236.032,255,238.3,251.875,244.559,255,210.8,96.625,151.636,219.979,255,174.562,168.429,237.091,250,187.625,53.404,24.983,240.968,60.464,187.214,243.375,168.5,165.344,231.75,227.5,163.375,174.444,67.286,108.967,43.231,255,234.062,152,44.167,162.531,96.892,20.654,128.5,196.318,138.917,23.522,46.45,170.422,17.024,56.75,145.154,73.321,120,82.804
248,55,184.353,246.2,141.182,176.75,152.167,226.679,165.143,207.792,33,114.912,34,242.059,51.613,49.2,238.273,223.129,65,160.968,255,240,242.214,234.452,255,237.05,252.688,245,255,198.8,96.875,154.909,216.333,255,174,168.643,236.364,247.091,180.125,57.468,23.724,243.29,59.036,189.286,239.625,163.7,166.375,229.875,225.375,162.312,172.556,63.333,109.049,45.769,254.85,232.875,155.227,38.708,167.25,91.378,17.731,130.5,194.705,135.729,24.348,47,172.469,19.012,54.6,145.692,77.321,120.062,83.964
249,48.583,185.882,239.65,130.091,177.25,151.958,226.607,168.5,205.458,37.95,112.088,43.545,241.676,54.935,47.4,239.727,218.129,65.5,162.742,255,238.083,242.857,234.935,255,237.95,254.625,245.412,254,208.1,98.625,142.909,218.521,255,175.438,164.714,235.545,249.545,186.875,55.277,23.086,239.581,56.071,186.571,244.75,165.2,168.031,228.625,231.25,166.312,176,69.357,105.721,41.192,254.05,232.781,154.25,40.042,164.094,96.486,19.115,128.833,198.432,135.792,24.348,47.5,171.938,18.476,60,144.231,72.286,122.562,85.339
250,49.667,177.588,242.45,129.909,188.25,152.375,226.821,164.786,202.375,31.25,120.088,44.818,241.941,47.452,62.8,237.273,221.032,64,155.871,255,235.958,242.286,238.032,255,237.95,252.812,243.941,255,210.5,99.5,152.818,217.167,255,173.125,167.071,234.818,249.727,183.375,58.447,19.207,239.903,56.214,188.571,241.375,165.3,164.594,228.5,228.875,164,174.111,62.167,110.066,40.308,253.7,232.312,151.977,44.292,166.344,93.811,15.5,132.667,196.045,140.333,24.87,51.8,175.641,15.598,56.15,146.423,74.69,120.938,80.607
251,45.667,182.529,237.65,128.182,180.875,152.917,224.75,167.286,208.708,33.55,120.088,40.182,242.235,50.452,49.6,241.364,222.355,62.167,160.097,255,236.333,241.429,237.839,255,237.55,251.812,244.235,255,205.4,92.25,146.909,215.479,255,177.625,164.5,232.364,247.818,179.875,58.319,23.138,242.29,57.036,190.857,242.25,166,165.5,230.875,232,160.562,175.889,61.667,106.885,40.538,255,230.844,153.591,36.208,168.062,94.135,20.962,131.667,194.955,138.104,27.174,42.6,173.266,15.439,63.2,143.5,74.226,123.125,84.268
252,46.75,183.647,249.6,127.727,182.375,154.292,224.786,164.5,211.083,28.2,115.5,37.364,239.412,49.355,54,241,222.387,62.917,159.29,255,238.083,241.571,236.032,255,236.85,252.5,244.029,255,204.9,93.375,153.636,215.375,255,174.438,167,232.091,250.091,186.625,57.532,22.448,240.903,57.679,187.643,239.125,169.9,164.094,231.125,226.75,156.562,177.889,65.524,106,42.731,254.95,233,155.5,35.583,169.656,94.432,19.654,129.333,196,140.917,27.304,49.85,173.438,16.585,57.6,149.154,74.833,122.125,84.411
253,48.333,182.176,243.4,135.909,183.375,147.542,225.464,164.214,202.917,28.45,120.118,36,241.324,47.226,55.6,242.545,220.581,60.583,157.097,255,239.542,241.143,236.129,255,236.3,254.688,242.765,255,214.8,96.75,152.455,216.958,255,173.188,167.5,234.091,251.364,183.25,58.213,20.017,242.419,56.107,189.214,242.875,165.9,165.844,230,230.375,161.062,185.333,65.595,106.689,40.923,253.65,233.938,153.818,40.333,169.812,93.27,18.885,127.667,197.795,139.271,20.13,49.6,172.797,15.268,59.5,145.385,73.869,127.938,82.589
254,47.583,186.059,242.25,131.545,180.375,153.333,225.857,163.786,208.542,31,114.941,35.273,242.794,49.581,52.4,243.091,220.903,57.833,157.613,255,236.958,241.786,236.581,255,238.25,252.75,243.853,255,207.8,100.625,149.455,216.812,255,174.938,170.286,234.636,246.636,181.5,55.553,20.569,240.581,61.393,186.286,243.625,159.9,167.188,231.625,226.75,159.625,172.111,65.786,105.951,41.308,255,228.625,153.682,46.375,166.562,96.595,19.615,140,196.045,136.583,22.913,47.85,172.672,15.341,61.5,146.038,74.083,122.938,84.482
255,44.333,185,242.15,128.636,184.5,151.625,232.286,166.714,207.833,31.75,125.824,38.727,243.147,51.355,50,240.636,219.548,60.75,157.774,255,237,241.5,235.516,255,236.65,254.25,247.059,255,208.4,97.25,149.636,216.875,255,178.688,166.786,234.818,247.273,173.625,56.809,24.017,241.29,60.429,188.286,243,166.5,162,230.375,225.625,160.312,189.667,66.381,106.869,40.962,254.8,232.844,153.227,39.708,167.594,93.703,16.154,124,196.068,137.938,22.261,47.3,172.109,16.232,61.7,139.808,75.488,129.562,84.036
256,47.083,188.059,242.8,128.545,181.5,153.083,227.536,163.214,210.042,39.2,118.912,45.909,242.176,49.258,59.6,238.818,218.065,65.5,161.71,255,237.542,247.071,234.161,255,237.25,251.562,244.647,255,207.4,90.625,149,216.771,255,174.25,165.929,231.818,245.909,185,56.809,22.19,243.645,61.536,192,241.125,163.6,165.719,234.625,228.75,160.562,177.778,65.476,107.705,44.654,255,233.656,151.75,37.75,162.281,97.189,16.5,136.667,197.795,136.167,17.913,43.65,169.469,16.89,57.9,145.577,73.929,120.812,82.25
257,51.333,184.118,241.35,129.727,179.875,152,226.107,166.071,203.833,28.9,129.147,36.091,240.941,48.032,46.8,240.091,222.484,56.25,159.548,255,236.708,242.429,236.419,255,237.05,253.312,243.029,255,207.9,92.125,145.273,219.125,255,175.25,171.5,237.091,246.909,180.375,55.064,23.741,241.839,56.643,189.857,237,161.6,166.438,236.5,229.375,159.875,175.111,67.81,107.115,44.115,255,232.531,152.591,36.208,168.562,95.892,19.192,138,197.068,138.833,21.913,46.65,170.391,14.098,58.2,143.615,74.143,124.688,85.393
258,48.417,185.118,246.6,126.818,188,150.75,224.5,167,210.792,34.95,124.765,34.182,242.471,48.161,49.2,241.545,223.839,64.5,161.806,255,238.25,241.286,237.097,255,236.5,252.688,244.471,254.25,208.2,104.625,148.455,215.854,255,173.438,172.714,238.364,247.273,179.875,58.468,23.397,242.839,61.214,184.643,241.25,166.9,164.219,230.125,231.625,161.75,187.444,64.024,103.066,44.692,255,230.594,154.545,36.458,167.906,94.405,19.231,128.5,194.477,133.562,23.87,47.1,173.453,15.963,57.75,149.346,75.881,119.562,84.429
259,49.583,181.412,242.75,122.182,175.125,151.25,224.571,168.643,208.542,32.3,120.059,36.727,242.588,52.226,47.6,242,219.581,58.5,158.806,255,236.208,243.286,234.226,255,237.4,253.062,243.088,255,209,99.125,150.636,217.417,255,172.125,170.571,236.636,251.182,176.125,54.489,21.293,241.484,57.893,191,244.75,161.6,165.156,237.75,229.375,163.688,179,65.714,104.738,39.154,255,230.688,155.318,33.417,167.25,95.324,18.923,144.833,195.614,137.125,23.826,49.7,171.203,13.927,61,144.808,74.452,123.438,84.304
260,53.75,186.412,240.8,125.818,175,145.708,226.75,167.857,207.417,36.55,125.941,37.364,240.824,47.968,51,236.727,219.065,61.083,156.645,255,236.667,244.643,236.129,255,238.05,253.875,244.412,255,213.5,93.25,143.909,215.833,255,174.625,169.929,231.636,252.909,186.625,56.702,22.69,240.774,58.643,187.214,241.875,166.7,165.469,234.125,225.75,160.625,174.333,66.476,105.18,47.346,254.5,231.344,154.614,36.708,166.312,94.486,19.346,140.167,197.136,142.25,26.13,48.5,172.641,13.768,59.95,144.346,73.024,126.062,83.661
261,47.5,181.176,244.4,136.909,177.375,150.25,223.714,166.714,207.292,32.65,121.676,37.091,241.118,46.161,52,241.273,219.032,58.083,153.968,255,240.25,242.214,235.161,255,237.25,254.812,245.206,255,209.2,96.5,148.636,220,255,175.688,175.786,231.545,250.091,173.5,56.787,20.724,238.645,63.321,191.571,242.25,168.6,169.062,234.75,222.5,164.375,180.111,66.881,105.934,42.731,254.05,232.5,152.523,38.25,164.094,98.865,16.038,138.333,197.114,140.042,24.957,50.8,172.672,14.976,57.65,143.231,74.357,123.125,83.411
262,51.083,182.647,242.55,126.091,182.5,153.5,225.607,167,209.792,37.8,124.618,40.364,242.735,52.129,52.2,238.636,216.742,62.25,158.258,255,237.875,239.857,237.065,255,237.55,253.375,244.059,255,205.7,93.375,147.364,217.875,255,171.125,173.143,232.909,250.273,180.625,56.298,22.966,240.903,64.571,185.857,237.375,165.3,165.938,233.375,221.375,154.438,174.667,67.81,106.934,43.192,254.4,233.469,152.364,39.292,165,96.459,18.385,132.333,195.932,134.917,28.261,49.1,172.969,15.207,51.3,141.808,74.048,118,83.107
263,46.333,187.118,242.15,123.091,183.125,152.667,227.071,163,210.75,29.75,132.265,34.727,241.471,54.129,53.6,238.273,223.581,64.083,161.065,255,236.042,241.929,235.71,255,237.15,252.688,242.265,255,206.8,97.125,149.909,217.083,255,175.125,172.429,233.182,248.182,183.625,55.064,23.707,241.839,64.429,189.071,243.25,165,168.875,229.25,222.125,158.625,189.556,65.714,107.508,42.192,254.5,233.156,153.136,38.5,164.281,95.703,20.077,134.667,195.182,138.271,25.609,50.15,172.578,16.11,54.05,146.077,75.429,127.938,83.232
264,47.417,184,248.85,126.818,181,153.458,226.143,165.714,209.833,35,124.559,32,243.147,50.419,53.2,237.818,220.355,58.75,160.613,255,239.833,244.429,234.839,255,237.7,253.5,244.088,255,204,92.125,142.909,216.479,255,173.25,172.286,234.727,249,179.125,56.511,22.759,242.032,60.893,188.643,241.375,161.9,163.5,236.625,229.125,166.75,183.222,66.976,104.213,44.5,254.85,231.562,151.273,46.042,164.062,95.784,18.308,128.333,196.091,137.417,23.522,50.8,170.656,13.207,52.1,145.538,74.679,121.188,81.786
265,46.833,182.235,243.7,132.364,172.5,155.958,227.964,160.929,208,38.15,126.529,34.455,240.147,49.387,55.4,241.818,219.097,64,160.548,255,236.792,239.143,236.806,255,236.15,253.312,243.441,255,210.6,94.75,149.273,215.896,255,176.188,173.5,233.818,249.273,180.125,54.723,25.534,241.194,59.571,183.857,237.625,165.2,164,229.625,229,159.25,176.667,67.524,105.443,44.731,255,232.531,152.318,39.083,165.438,95.973,18.308,137.5,198.705,139.312,26.261,44.4,170.578,12.646,55.9,145.385,74.798,122.562,82.679
266,54.833,185.824,246.55,131.545,181.875,148.208,226.893,162.786,200,28.35,131.412,37.727,241.324,49.194,59.8,238.636,221.032,63,157.645,255,241.75,240.643,236.903,255,237.65,251.625,244.676,255,204.8,97.25,155.091,218.688,255,171.875,171.5,233.636,250.818,179.875,55.128,20.155,242.032,62.393,187.571,241.875,162.6,165.219,227,227.125,167.625,182.111,64.214,105.607,42.231,255,233.625,153.409,38.917,167.75,92.919,17.5,137.167,196.273,138.438,25.957,45.65,171.422,12.659,56.85,145.923,73.179,130.812,80.875
267,49.333,187.118,247.15,128.182,174.75,152.417,226.893,164.357,207.042,31.95,130.529,41.273,244.294,48.516,52.4,240.364,218.806,58.5,159.516,255,237.625,243.929,234,255,237.8,253.25,243.941,255,205.5,92.25,146.455,214.312,255,172.188,173.286,232.636,247,182.125,54.468,23.552,240.161,59.464,187.929,245,161.4,166.094,231.125,222.375,164.688,177.333,67.571,103.607,42.423,253.5,232.969,155.864,38.042,166.156,95.676,18.885,131.333,196.068,136.292,22.174,49.45,172.359,12.854,56.05,141.308,74.595,125.438,85.786
268,49.417,187.176,244.15,131.727,181.125,152.417,227.25,166.857,210.333,33.85,127.794,44.364,243.588,47.452,54,242.909,220.452,57.417,157.129,255,238.5,242.429,234.871,255,236.7,254.25,243.735,255,214.7,95.625,151.364,217.562,255,175.688,172.786,233.182,251.636,175.125,55.085,21.948,243,63.321,196.857,241,161.6,166.781,234.625,223.75,157.438,174.556,70.095,103.902,44,253.4,233.625,153.932,44.75,168.875,95.27,17.885,132.5,198.795,137,27.261,50,171.625,14.732,60.15,142.423,71.476,123.75,85.607
269,42.25,182.353,240.25,137.727,183.375,154.792,228.357,165,211.292,35.3,129.029,39.909,241.324,47.839,56.4,244.545,223.581,63.25,162.774,255,238.167,245.071,234.29,255,238,252.562,243.765,255,210.6,99.875,144.364,217.792,255,171.188,169.857,237,247.091,179.125,57.532,22.828,241.355,61.964,190,239.75,165.2,164.562,226.75,232,164.312,179.222,66.976,102.984,43.462,255,231.469,153.182,36.292,162,94.378,18.038,128.833,197.114,137.542,24.217,48.95,173.188,12.951,54.2,142.538,72.393,128.5,84.893
270,45.167,181.529,244.95,122.182,183.375,150.958,228.429,169,205.25,32.6,126.706,47.545,243.176,47.581,54.6,240.545,219.355,53.833,159.161,255,235.292,241.214,236.097,255,236.7,251.938,246.353,255,221.5,93.375,145.455,213.896,255,172.125,170.429,232.818,248.364,185.875,52.851,22.103,241.806,61.714,186.643,240.5,165.6,163.312,227.75,224.875,163.75,177.444,68.786,106.328,46,255,232.938,154.432,35.333,160.031,99.108,21.192,130,196.705,140.771,24.87,47.4,172.375,12.11,57.9,145.385,74.286,124.938,84.929
271,51.417,183.176,240.7,129,176.25,148.667,227.286,162.214,200.708,31.25,129.912,40.182,241.618,49.452,45.4,239.273,220.774,60.167,160.29,255,239.292,241.357,233.581,255,237.35,251.812,243.088,255,209.4,90.125,145.545,214.375,255,175.75,171.214,233.182,250.364,191.625,55.851,21.379,241.226,59.75,191.357,238.625,166.6,164.219,233.5,227.25,165.875,174.111,69.167,99.213,46.077,255,233.562,154.818,40.708,163.438,99.216,18.308,140.167,198.636,135.958,24.217,50.05,170.969,12.78,56.05,146.538,75.202,127.812,82.143
272,46.25,179.941,243.05,129.818,177.375,151.708,225.107,166.214,212.25,34.4,124.235,38.909,238.912,46.806,56.4,237.182,218.968,63.917,159.323,255,237.583,240.071,236.419,255,236.05,253.125,243.412,255,203.9,97.875,147.636,218.208,255,170.938,170.143,231.727,246.727,186.625,55.468,22.741,240.903,62.393,187.286,247.625,160.5,166.062,229.875,226.625,161.625,176.444,68.143,100.492,43.923,254.15,233.062,154.523,35.375,165.438,96.297,18.577,127.167,197.545,137.938,23.522,48.9,170.953,11.073,56.35,144.808,74.321,122.125,84.732
273,45.333,179.706,245.65,125.545,176.125,155.458,224.714,169.5,207.25,36.2,128.941,37.636,240.059,51.032,53.6,238.364,220.419,63.417,157.806,255,238.208,241.071,236.935,255,237.8,252.938,244.059,255,207.5,97.875,145.545,216.812,255,171.625,170.429,235.455,246.818,187.375,51.596,23.879,241.29,62.714,186.5,241,160.3,165.625,232.25,231.875,162.188,181.889,64.405,101.115,43.462,254.55,233.281,153.841,37.917,161.781,95.973,19,127.333,196.295,136.438,26.348,46.55,170.422,11.988,52.2,141.308,73.821,119.812,83.75
274,46.417,188.294,245.75,131,179,148.5,225.786,161.786,205.417,36.4,133.235,45.273,240.853,47.968,51.2,238.727,222.032,62.833,159.29,255,239.458,241.571,236.226,255,236.05,253.875,245.559,255,207.7,99.25,146.545,215.646,255,174.438,169,232.182,248.636,188,55.553,20.672,241.065,61.429,192.143,236.625,161.4,161.938,232.25,229.125,158.75,185.222,65.214,100.328,43.769,255,232,151.75,33.333,164.125,99.162,17,125.833,193.636,139.062,23.87,50.2,173.719,11.646,56.8,144.577,73.512,126.5,83.607
275,50.333,187.588,238.25,135.545,177.625,153.75,224.429,169.429,206.208,31.3,131.941,43.545,242.206,50.516,51,240.273,222.452,66.833,159.097,255,239.667,242.643,237.452,255,236.55,251.312,246.029,255,206.1,98.375,144.091,216.75,255,175.062,169.357,236.091,250.455,185.375,55.106,20.414,243.484,62.321,187.071,236.875,168.1,166.531,233.375,228.625,161,174,68.571,101.18,43.115,255,232.625,151.318,38.958,163.875,93.73,19.731,128,193.773,134.396,24.652,51.05,170.859,12.805,56.05,146.077,74.56,120.562,82.482
276,31.833,180.412,240.75,129.909,178.25,149.458,224.75,163.5,206.167,33.45,129.382,46.727,240.529,48.806,43.6,242.364,220.419,65,158.935,255,237.833,240.286,236.774,255,237.4,252.062,244,255,208.4,97.625,147.636,217.688,255,176,171.571,235.545,250.273,184.875,53.149,22.379,240.419,60.893,187.929,241.625,158.6,166.438,230.875,226.5,154.5,183.111,69.5,101.197,44.615,254.55,230.5,154.773,41.292,163.156,96.351,16.885,129.833,197.636,134.625,22.13,49.45,171.062,13.537,59.2,147.538,74.762,116.188,83.964
277,48.833,188.882,244.6,130.818,182.75,152.75,226.679,163.714,206.375,33.4,123.294,40.818,240.676,47.323,61.6,236.455,223.355,67.25,159.387,255,236.5,238,234.548,255,236.9,253.562,244.853,255,205.5,90,151.182,216.958,255,174.938,174.071,237.818,249.545,179.75,54.596,24.603,240.387,64.393,187.786,240.375,164,166.781,228.375,226.25,160.938,182.667,65.595,99.246,47.654,255,230.25,154.25,38.75,164.594,96.514,16.038,131.667,195.75,137,25.957,51,171.578,12.963,54.1,143.231,72.107,118.938,82.339
278,48.667,185.529,246.35,137.091,186.125,151.042,227.25,162.857,210,34.75,123.059,39.636,242.5,50.935,57.6,241.727,218.516,63.833,162.323,255,239.958,245.071,235.29,255,236.8,253,243.824,255,202.8,91,151.818,216.583,255,170.25,170.643,233.545,248.818,182,56.787,23.828,240.161,64.679,188.857,243.75,164.2,167.75,230.5,217.75,160.812,174.444,66.595,100.377,41.231,253.85,233.75,154.432,35.333,167.281,98,15.385,145,196.932,135.854,23.957,46.25,170.312,10.695,57.05,144.769,71.762,115.312,80.821
279,39.333,180.706,247.4,136.818,188.375,152.25,223.143,167.357,207.625,31.45,131.529,39.636,240.912,48.871,55.8,239.727,219.29,59.833,159.935,255,238.083,240.571,235,255,235.9,253.25,246.206,255,209.8,101.125,146.545,216.042,255,174.188,166.929,233.455,246.455,182.875,54.809,20.259,241.226,63.214,192,240.625,160.6,165.25,235.125,222.25,162,181.333,68.857,99.475,42.154,254.2,231.594,155.273,41.542,168.188,95.189,19.038,132.167,197.227,138.104,21.13,51.5,172.484,11.439,56.5,142.962,75.988,122,83.321
280,44.167,181.176,240.4,125.455,172.625,149.917,223.786,162.214,205.375,30.5,130.529,43.091,242.412,46.323,52.8,235.818,222.065,61,163.129,255,238.25,243.143,236.452,255,237.1,253.188,244.412,255,209.7,92.75,144.909,216.479,255,171.438,171.643,233.545,252.364,175.5,53.851,20.431,241.613,62.143,189.357,240.75,167.2,167.188,235.75,223.875,160.062,172.889,68.452,98.787,50.115,255,232.906,154,40.75,165.531,94.243,20.846,130.667,196.091,139.979,22.565,45.7,170.578,10.463,57.8,146.885,74.655,118.562,84.464
281,41.25,180.647,239.6,131.364,179.375,153.5,226.536,166,204.083,36.6,129.118,38.273,241.118,46.323,48.4,236.636,220.548,60.25,158.839,255,239.75,244.357,234.613,255,236.85,252.438,244.706,255,202.6,98.75,145.182,216.417,255,170.75,168.5,233,245.909,181.875,55.532,20.672,241.032,63.214,187.5,247.75,162.6,169.719,231.875,226,157.25,174.778,70.19,99.393,41.769,253.4,231.75,154.636,36.583,165.812,95.108,17.115,128,195.568,137.062,23.304,42.3,170.719,10.939,56.7,146.5,74.357,125.125,83.054
282,39.583,186.882,241.1,121.455,180.375,153.25,229.107,165.714,201.167,36.85,127.529,40.182,241.324,45.355,65.2,239.364,222.452,63,163.065,255,236.125,241.643,235.355,255,236.5,253.062,245.912,255,196.9,95.125,145.182,214.75,255,172.75,170.214,233.727,250.273,190.625,54.17,22.259,241.387,63.571,188.286,243.5,168.8,166.844,231,217.75,160.5,181.111,69.714,98.508,40.808,255,230.969,152.795,40.458,163.438,99.297,14.846,122.833,195.523,133.042,25.478,47.6,170.094,12.378,54.05,144.846,75.976,119.688,81.286
283,40.167,183.588,242.45,126.636,179.25,150.167,224.071,165.357,205.833,33.05,130.382,42.182,244.588,45.484,52.6,238.273,218.806,62.583,161.806,255,238.917,240.143,236.548,255,235.6,252.812,244.765,255,207.9,104.375,154.909,214.417,255,173.312,173.286,232.545,248.909,182,52.532,23.483,241.839,60.5,187.571,241.625,162.9,162.375,230.625,228,152.562,177.889,69.333,93.197,41.962,254.1,232.781,153.136,43,162.406,98.189,16.885,118.333,195.977,138.021,24.913,46.4,171.844,11.78,53.15,143.231,72.69,126.188,85.571
284,57.917,187.412,241.1,131.273,177.75,151.708,220.929,165,206.292,35.2,127.882,41.182,241.941,48.774,45.4,237.091,221.355,65.583,157.484,255,238.167,242.214,234.323,255,235.1,253.125,243.235,255,206.7,100.375,152.091,220.354,255,173.312,169,234.909,243.818,180.25,55.681,21.621,243.097,63.464,186.929,241.25,165.4,165.656,235,224.75,159.562,179.444,68.762,97.393,43.038,254.95,232.219,152.227,38.792,165.531,94.919,19.538,129.167,197.068,136.896,24.435,46.85,170.203,9.524,57.8,140.577,76.036,122.125,81.607
